,Unnamed: 0,POINT_ID,CURRENT,FORCE,TH_ORDER,TH1,TH2,TH3,1,10,r_max_time,r_max,slope_exp,intercept_exp,assesment_txt,OK,anomaly,gap,shunt
32,32,470229,8.4,2.0,0.7 + 0.75 + 0.8,0.7,0.75,0.8,392,164,137.0,116.0,-0.0089534680050301,5.9802153077954925,OK,1,0,0,0
33,33,470225,8.4,2.0,0.7 + 0.75 + 0.8,0.7,0.75,0.8,388,168,100.0,121.0,-0.0117698464043084,5.972775186027582,OK,1,0,0,0
34,34,470221,8.4,2.4,0.7 + 0.75 + 0.8,0.7,0.75,0.8,384,158,138.0,100.0,-0.0098209661795593,5.960463518767286,OK,1,0,0,0
35,35,570285,8.4,2.0,0.7 + 0.75 + 0.8,0.7,0.75,0.8,382,164,127.0,110.0,-0.0098804781175726,5.955301086724148,OK,1,0,0,0
36,36,570291,8.4,2.0,0.7 + 0.75 + 0.8,0.7,0.75,0.8,461,181,71.0,101.0,-0.0216896789450769,6.155087721941726,OK,1,0,0,0
37,37,570294,8.4,2.0,0.7 + 0.75 + 0.8,0.7,0.75,0.8,398,161,116.0,110.0,-0.0111823620825393,5.997634367366977,OK,1,0,0,0
38,38,570344,8.4,2.0,0.7 + 0.75 + 0.8,0.7,0.75,0.8,452,178,52.0,98.0,-0.0299747980619933,6.143656977894225,gap,0,0,1,0
39,39,570340,9.0,2.2,0.7 + 0.8 + 0.8,0.7,0.8,0.8,157,162,102.0,102.0,-0.0042700296243964,5.060515834972704,OK,1,0,0,0
40,40,170775,9.0,2.2,0.7 + 0.8 + 1.5,0.7,0.8,1.5,112,87,215.0,114.0,8.270830420281079e-05,4.718416162990891,OK,1,0,0,0
41,41,370202,9.0,2.0,0.7 + 0.9 + 0,0.7,0.9,0.0,184,85,78.0,94.0,-0.0087226100693374,5.223658367678324,OK,1,0,0,0
42,42,370203,9.1,2.0,0.7 + 0.9 + 0,0.7,0.9,0.0,171,81,86.0,92.0,-0.0072926468171014,5.148956203319762,OK,1,0,0,0
43,43,370204,9.1,2.0,0.7 + 0.9 + 0,0.7,0.9,0.0,171,78,98.0,95.0,-0.0060596563391971,5.147723212841857,OK,1,0,0,0
44,44,370291,8.4,2.0,0.7 + 0.75 + 0.9,0.7,0.75,0.9,472,212,93.0,114.0,-0.0154432667085984,6.172422252294154,OK,1,0,0,0
45,45,370292,8.4,2.0,0.7 + 0.75 + 0.9,0.7,0.75,0.9,480,220,110.0,111.0,-0.0134335403907303,6.187219644292667,OK,1,0,0,0
46,46,370309,8.4,2.0,0.7 + 0.75 + 0.9,0.7,0.75,0.9,472,212,87.0,106.0,-0.0173667429241103,6.174345728509666,OK,1,0,0,0
47,47,370311,8.4,2.0,0.7 + 0.75 + 0.9,0.7,0.75,0.9,460,205,75.0,105.0,-0.0199630559368326,6.151189545419974,OK,1,0,0,0
48,48,370313,8.6,2.6,0.7 + 0.75 + 0.9,0.7,0.75,0.9,458,195,142.0,108.0,-0.0102463684892905,6.137115552603476,OK,1,0,0,0
49,49,370318,8.4,2.4,0.7 + 0.75 + 0.9,0.7,0.75,0.9,457,208,100.0,112.0,-0.0142038840363546,6.13888727493056,OK,1,0,0,0
50,50,270353,8.4,2.0,0.7 + 0.75 + 0.9,0.7,0.75,0.9,408,165,114.0,125.0,-0.010468614487627,6.021735788891789,OK,1,0,0,0
51,51,370371,9.4,2.0,0.7 + 0.75 + 0.9,0.7,0.75,0.9,706,313,117.0,105.0,-0.0164280593735837,6.576043296866826,OK,1,0,0,0
